snum,source,stitle,tnum,target,ttitle,check,stier,ttier,logic,slearning,tlearning
6,ENG2005,Advanced engineering mathematics,17,ECE4077,Advanced computing techniques,1,2,4,(ENG2092 OR MAT2901 OR ENG2005) AND (ECE2011 OR ECE3102) AND (ECE2071 OR ECE2702 OR CSE1301 OR TRC2400 OR FIT1002),"use essential concepts related to mxn linear systems, including linear independence and basis, and demonstrate a broad appreciation of tensors,solve systems of simple ordinary differential equations, establish and use their eigenvalues, solve simple second-order boundary-value problems,represent a periodic function with a fourier series, determine their convergence, calculate even and odd series, and apply these to solving simple periodic systems,perform change of variables for multivariable functions with the chain rule, use polar coordinates, represent 2d and 3d curves parametrically and solve line integrals on these curves,manipulate and evaluate double and triple integrals in cartesian, cylindrical and spherical coordinates,calculate the gradient, divergence and curl vector operations, and apply these in the evaluation of surface and volume integrals through the gauss and stokes theorems,solve elementary partial differential equations, apply boundary and initial conditions as appropriate, and use the method of separation of variables with the wave equation, heat equation and laplace's equation,appreciate key issues related to the numerical solution of full and sparse linear systems,apply a range of suitable techniques for the numerical solution of odes, including using discrete fourier transforms, ps and fe methods,use a range of suitable simple numerical techniques for the solution of pdes and appreciate their advantages and disadvantages,use matlab and other appropriate software to assist in understanding these mathematical techniques,express and explain mathematical techniques and arguments clearly in words","familiarity with the use of software development tools,knowledge of the features of c++ including oop,understanding of efficiency considerations in c++ including temporary generation, in-lining, virtual functions usage, floating point, bit-set calculations, reference, pointers and exception handling,competence in meta-programming,experience of blitz++ as an example system to demonstrate scientific programming,use of comsol multiphysics as an example scripting platform for handling finite element programs,competence in finite difference and finite element methods,the ability to design object oriented, maintainable numerical software for solving engineering problems,an appreciation of computational methodologies and high performance computing techniques in electrical engineering,confidence in using state of the art numerical packages for solving engineering problems",,,,,,,,,,,,,
16,ECE2011,Signal processing,17,ECE4077,Advanced computing techniques,1,2,4,(ENG2092 OR MAT2901 OR ENG2005) AND (ECE2011 OR ECE3102) AND (ECE2071 OR ECE2702 OR CSE1301 OR TRC2400 OR FIT1002),"apply the correct technique to analyse and manipulate continuous-time and discrete-time signals, evaluate and analyse signal in frequency or time domain, apply ltiv system concept to analyse engineering systems, apply fourier transform and the discrete fourier transforms, recognise sampling errors and aliasing phenomena","familiarity with the use of software development tools,knowledge of the features of c++ including oop,understanding of efficiency considerations in c++ including temporary generation, in-lining, virtual functions usage, floating point, bit-set calculations, reference, pointers and exception handling,competence in meta-programming,experience of blitz++ as an example system to demonstrate scientific programming,use of comsol multiphysics as an example scripting platform for handling finite element programs,competence in finite difference and finite element methods,the ability to design object oriented, maintainable numerical software for solving engineering problems,an appreciation of computational methodologies and high performance computing techniques in electrical engineering,confidence in using state of the art numerical packages for solving engineering problems",,,,,,,,,,,,,
2,ECE2071,Computer organisation and programming,17,ECE4077,Advanced computing techniques,1,2,4,(ENG2092 OR MAT2901 OR ENG2005) AND (ECE2011 OR ECE3102) AND (ECE2071 OR ECE2702 OR CSE1301 OR TRC2400 OR FIT1002),"evaluate the basic concepts of computer programming, cpu organization, assemblers and compilers, and algorithm design for engineering problems by using software engineering and operating systems concepts,develop and evaluate programs in the c language through understanding of standard data types, arrays, control statements, functions, pointers, strings, arrays of pointers, structures, linked lists, binary tree data structures and dynamic memory allocations","familiarity with the use of software development tools,knowledge of the features of c++ including oop,understanding of efficiency considerations in c++ including temporary generation, in-lining, virtual functions usage, floating point, bit-set calculations, reference, pointers and exception handling,competence in meta-programming,experience of blitz++ as an example system to demonstrate scientific programming,use of comsol multiphysics as an example scripting platform for handling finite element programs,competence in finite difference and finite element methods,the ability to design object oriented, maintainable numerical software for solving engineering problems,an appreciation of computational methodologies and high performance computing techniques in electrical engineering,confidence in using state of the art numerical packages for solving engineering problems",,,,,,,,,,,,,
1,ECE2072,Digital systems,17,ECE4077,Advanced computing techniques,1,2,4,(ENG2092 OR MAT2901 OR ENG2005) AND (ECE2011 OR ECE3102) AND (ECE2071 OR ECE2702 OR CSE1301 OR TRC2400 OR FIT1002),"apply different techniques such as k-map and quine mccluskey, to minimise logic expressions and implement them using primitive logical gates,analyse the operation of latches, flip-flops, multiplexors, decoders, counters, registers and use them in implementing complex digital systems,design and build complex digital systems using programmable logic devices such as plas, pals and fpgas,use a hardware description language and computer aided design tools to synthesise and simulate logic circuits in a clear, consistent and efficient manner,analyse and design finite state sequential mealy and moore machines and implement them using different technologies,define time delays of digital logic elements and explain timing constraints necessary for correct operation of synchronous logic","familiarity with the use of software development tools,knowledge of the features of c++ including oop,understanding of efficiency considerations in c++ including temporary generation, in-lining, virtual functions usage, floating point, bit-set calculations, reference, pointers and exception handling,competence in meta-programming,experience of blitz++ as an example system to demonstrate scientific programming,use of comsol multiphysics as an example scripting platform for handling finite element programs,competence in finite difference and finite element methods,the ability to design object oriented, maintainable numerical software for solving engineering problems,an appreciation of computational methodologies and high performance computing techniques in electrical engineering,confidence in using state of the art numerical packages for solving engineering problems",,,,,,,,,,,,,
10,CSE1301,Computer programming,17,ECE4077,Advanced computing techniques,1,1,4,(ENG2092 OR MAT2901 OR ENG2005) AND (ECE2011 OR ECE3102) AND (ECE2071 OR ECE2702 OR CSE1301 OR TRC2400 OR FIT1002),,"familiarity with the use of software development tools,knowledge of the features of c++ including oop,understanding of efficiency considerations in c++ including temporary generation, in-lining, virtual functions usage, floating point, bit-set calculations, reference, pointers and exception handling,competence in meta-programming,experience of blitz++ as an example system to demonstrate scientific programming,use of comsol multiphysics as an example scripting platform for handling finite element programs,competence in finite difference and finite element methods,the ability to design object oriented, maintainable numerical software for solving engineering problems,an appreciation of computational methodologies and high performance computing techniques in electrical engineering,confidence in using state of the art numerical packages for solving engineering problems",,,,,,,,,,,,,
7,TRC2400,Computer organisation and programming,17,ECE4077,Advanced computing techniques,1,2,4,(ENG2092 OR MAT2901 OR ENG2005) AND (ECE2011 OR ECE3102) AND (ECE2071 OR ECE2702 OR CSE1301 OR TRC2400 OR FIT1002),,"familiarity with the use of software development tools,knowledge of the features of c++ including oop,understanding of efficiency considerations in c++ including temporary generation, in-lining, virtual functions usage, floating point, bit-set calculations, reference, pointers and exception handling,competence in meta-programming,experience of blitz++ as an example system to demonstrate scientific programming,use of comsol multiphysics as an example scripting platform for handling finite element programs,competence in finite difference and finite element methods,the ability to design object oriented, maintainable numerical software for solving engineering problems,an appreciation of computational methodologies and high performance computing techniques in electrical engineering,confidence in using state of the art numerical packages for solving engineering problems",,,,,,,,,,,,,
9,FIT1002,Computer programming,17,ECE4077,Advanced computing techniques,1,1,4,(ENG2092 OR MAT2901 OR ENG2005) AND (ECE2011 OR ECE3102) AND (ECE2071 OR ECE2702 OR CSE1301 OR TRC2400 OR FIT1002),"describe the relationship between a problem description and program design, explain the management of problems using recognised frameworks, explain the sequence of steps that a computer takes to translate source code into executable code, summarise the code of professional conduct and practice, industry standards and professional ethics, design solutions for programming problems including object oriented solutions using multiple user-defined classes, create and test programming solutions using java, edit, compile and execute a computer program and analyse and debug existing programs","familiarity with the use of software development tools,knowledge of the features of c++ including oop,understanding of efficiency considerations in c++ including temporary generation, in-lining, virtual functions usage, floating point, bit-set calculations, reference, pointers and exception handling,competence in meta-programming,experience of blitz++ as an example system to demonstrate scientific programming,use of comsol multiphysics as an example scripting platform for handling finite element programs,competence in finite difference and finite element methods,the ability to design object oriented, maintainable numerical software for solving engineering problems,an appreciation of computational methodologies and high performance computing techniques in electrical engineering,confidence in using state of the art numerical packages for solving engineering problems",,,,,,,,,,,,,
2,ECE2071,Computer organisation and programming,18,ECE4078,Intelligent robotics,1,2,4,ECE2071 OR TRC2400 OR FIT1002 OR (FIT1029 AND FIT1040),"evaluate the basic concepts of computer programming, cpu organization, assemblers and compilers, and algorithm design for engineering problems by using software engineering and operating systems concepts,develop and evaluate programs in the c language through understanding of standard data types, arrays, control statements, functions, pointers, strings, arrays of pointers, structures, linked lists, binary tree data structures and dynamic memory allocations","students will gain an understanding of the physical structure, sensing/actuation and programming required to develop an intelligent robot,they will be able to specify the robotic mechanism, its sensors and actuators and then be capable of programming and integrating these components into a functioning robot system. by considering case studies they will be able to critically appraise robot systems developed by others",,,,,,,,,,,,,
7,TRC2400,Computer organisation and programming,18,ECE4078,Intelligent robotics,1,2,4,ECE2071 OR TRC2400 OR FIT1002 OR (FIT1029 AND FIT1040),"evaluate the basic concepts of computer programming, cpu organization, assemblers and compilers, and algorithm design for engineering problems by using software engineering and operating systems concepts, develop and evaluate programs in the c language through understanding of standard data types, arrays, control statements, functions, pointers, strings, arrays of pointers, structures, linked lists, binary tree data structures and dynamic memory allocations.","students will gain an understanding of the physical structure, sensing/actuation and programming required to develop an intelligent robot,they will be able to specify the robotic mechanism, its sensors and actuators and then be capable of programming and integrating these components into a functioning robot system. by considering case studies they will be able to critically appraise robot systems developed by others",,,,,,,,,,,,,
9,FIT1002,Computer programming,18,ECE4078,Intelligent robotics,1,1,4,ECE2071 OR TRC2400 OR FIT1002 OR (FIT1029 AND FIT1040),"describe the relationship between a problem description and program design, explain the management of problems using recognised frameworks, explain the sequence of steps that a computer takes to translate source code into executable code, summarise the code of professional conduct and practice, industry standards and professional ethics, design solutions for programming problems including object oriented solutions using multiple user-defined classes, create and test programming solutions using java, edit, compile and execute a computer program and analyse and debug existing programs","students will gain an understanding of the physical structure, sensing/actuation and programming required to develop an intelligent robot,they will be able to specify the robotic mechanism, its sensors and actuators and then be capable of programming and integrating these components into a functioning robot system. by considering case studies they will be able to critically appraise robot systems developed by others",,,,,,,,,,,,,
7,FIT1029,Algorithmic problem solving,18,ECE4078,Intelligent robotics,1,1,4,ECE2071 OR TRC2400 OR FIT1002 OR (FIT1029 AND FIT1040),,"students will gain an understanding of the physical structure, sensing/actuation and programming required to develop an intelligent robot,they will be able to specify the robotic mechanism, its sensors and actuators and then be capable of programming and integrating these components into a functioning robot system. by considering case studies they will be able to critically appraise robot systems developed by others",,4,ECE2061,Analogue electronics,19,ECE4081,Medical instrumentation,0,2,4,ECE2061 AND PHY2011,"An understanding of semiconductor devices and their uses as near linear amplifiers. More generally, an understanding of linear systems, and of how non-linear systems can be approximated by linear systems, and the advantages of doing so.","To understand the generation of electrical signals in the body,To apply engineering principles to recording and analysis of electrical signals in the body,To apply basic chemistry to sensors,To understand the principles and operation of optical instrumentation,To become familiar with a range of hospital equipment"
17,PHY2011,"Neuroscience of communication, sensory and control systems",19,ECE4081,Medical instrumentation,0,2,4,ECE2061 AND PHY2011,"identify the structures of and explain the functions of the detection, communication, analysis and action systems in the body: viz., the nervous system, sensory systems, skeletal and smooth muscle systems, and endocrine systems, develop organisational, communication and management skills in the study and application of the biomedical sciences, demonstrate physiology laboratory skills in the collection, presentation, analysis and interpretation of data, including the practicalities and limitations of, and variablility inherent in, working with biological tissue, work co-operatively in practical classes and in assessment tasks.","to understand the generation of electrical signals in the body,to apply engineering principles to recording and analysis of electrical signals in the body,to apply basic chemistry to sensors,to understand the principles and operation of optical instrumentation,to become familiar with a range of hospital equipment",,,,,,,,,,,,,
16,ECE2011,Signal processing,20,ECE4086,Medical imaging technology,1,2,4,(ECE2011 OR ECE3102) AND (ECE2021 OR ECE3202 OR PHS2022),"apply the correct technique to analyse and manipulate continuous-time and discrete-time signals, evaluate and analyse signal in frequency or time domain, apply ltiv system concept to analyse engineering systems, apply fourier transform and the discrete fourier transforms, recognise sampling errors and aliasing phenomena","to provide an introduction to medical imaging equipment and systems,to study medical imaging systems, including computational methods, analysis, design and performance requirements,to be able to evaluate future medical imaging systems,to become familiar with medical imaging equipment safety and regulation,",,,,,,,,,,,,,
12,ECE2021,Electromagnetism,20,ECE4086,Medical imaging technology,1,2,4,(ECE2011 OR ECE3102) AND (ECE2021 OR ECE3202 OR PHS2022),"summarise underlying concepts and theory behind electric & magnetic fields and relate them to suitable applications, interpret mathematics used in solving problems in electromagnetism, describe electric and magnetic properties of materials, evaluate the currents and voltages in distributed circuits, compute forces caused by electromagnetic fields","to provide an introduction to medical imaging equipment and systems,to study medical imaging systems, including computational methods, analysis, design and performance requirements,to be able to evaluate future medical imaging systems,to become familiar with medical imaging equipment safety and regulation",,,,,,,,,,,,,
8,ECE3202,Wireless and guided EM,20,ECE4086,Medical imaging technology,1,2,4,(ECE2011 OR ECE3102) AND (ECE2021 OR ECE3202 OR PHS2022),,"to provide an introduction to medical imaging equipment and systems,to study medical imaging systems, including computational methods, analysis, design and performance requirements,to be able to evaluate future medical imaging systems,to become familiar with medical imaging equipment safety and regulation",,,,,,,,,,,,,
13,PHS2022,"Physics: Electromagnetism, light and entropy",20,ECE4086,Medical imaging technology,1,2,4,(ECE2011 OR ECE3102) AND (ECE2021 OR ECE3202 OR PHS2022),,"to provide an introduction to medical imaging equipment and systems,to study medical imaging systems, including computational methods, analysis, design and performance requirements,to be able to evaluate future medical imaging systems,to become familiar with medical imaging equipment safety and regulation",,,,,,,,,,,,,
21,ECE4087,Medical technology innovation,21,ECE4087,Medical technology innovation,0,4,4,,"to introduce the process of medical technology innovation in the context of australian case studies,to develop a conceptual design for a new medical technology considering a wide range of parameters including technical feasibility, patient/doctor acceptance, manufacturability, financial viability, and safety,to gain experience in developing and presenting a plan for new technology innovation","to introduce the process of medical technology innovation in the context of australian case studies,to develop a conceptual design for a new medical technology considering a wide range of parameters including technical feasibility, patient/doctor acceptance, manufacturability, financial viability, and safety,to gain experience in developing and presenting a plan for new technology innovation",,,,,,,,,,,,,
4,ECE2061,Analogue electronics,22,ECE4808,Organic electronics and micro devices,0,2,4,ECE2061,"an understanding of semiconductor devices and their uses as near linear amplifiers. more generally, an understanding of linear systems, and of how non-linear systems can be approximated by linear systems, and the advantages of doing so.","interpret and summarise the principles, instrumentation, theory, mathematical models, simulation techniques, fabrication and manufacturing techniques related to microelectromechanical systems (mems) and organic electronics based devices,design and develop simple mems devices, organic electronic devices (such as organic light emitting diode) and theoretical models involving multi physics,select suitable electronic components and develop simple mems or organic electronic device based systems, evaluate structural and material properties of micro/nano devices through simulation studies,summarise fundamentals of nanotechnology and propose research opportunities in designing micro technologies,",,,,,,,,,,,,,
12,ECE2021,Electromagnetism,23,ECE4809,Solid state lighting,0,2,4,ECE2021,"summarise underlying concepts and theory behind electric & magnetic fields and relate them to suitable applications, interpret mathematics used in solving problems in electromagnetism, describe electric and magnetic properties of materials, evaluate the currents and voltages in distributed circuits, compute forces caused by electromagnetic fields","describe the basic physical phenomena to produce light,analyse how human vision system sees light,devise an intelligently controlled led light system,design the predefined light spectrum by using different ssl techniques,create a model and construct a lighting system for specific needs,explain and evaluate the energy consumption of different lightings and formulate their relation to the climate change",,,,,,,,,,,,,
5,ECE3121,Engineering electromagnetics,24,ECE4122,Advanced electromagnetics,1,3,4,ECE3121 OR ECE2021,"apply knowledge of mathematics to examine the behaviour of electric and magnetic fields and relate them to suitable applications,interpret maxwell's equations and associated laplace, poisson and continuity equations using mathematical principles,describe electric and magnetic properties of metals, dielectrics and semiconductors,select and use appropriate tools to complete electrical and magnetic fields related laboratory tasks,communicate their work effectively in teams","apply knowledge of mathematics, physics and engineering fundamentals to solving complex problems involving plane wave propagation in various media, antennas and electromagnetic compatibility,interpret solutions to complex electromagnetic problems using mathematics, physics and maxwell's equations,apply appropriate techniques to solve transmission line, antenna and optical fibre related practical problems,select and use appropriate software and hardware tools to complete transmission line, antenna and optical fibre related laboratory tasks,communicate technical contents related to electromagnetic theory effectively individually and in a group",,,,,,,,,,,,,
12,ECE2021,Electromagnetism,24,ECE4122,Advanced electromagnetics,1,2,4,ECE3121 OR ECE2021,"summarise underlying concepts and theory behind electric & magnetic fields and relate them to suitable applications, interpret mathematics used in solving problems in electromagnetism, describe electric and magnetic properties of materials, evaluate the currents and voltages in distributed circuits, compute forces caused by electromagnetic fields","apply knowledge of mathematics, physics and engineering fundamentals to solving complex problems involving plane wave propagation in various media, antennas and electromagnetic compatibility,interpret solutions to complex electromagnetic problems using mathematics, physics and maxwell's equations,apply appropriate techniques to solve transmission line, antenna and optical fibre related practical problems,select and use appropriate software and hardware tools to complete transmission line, antenna and optical fibre related laboratory tasks,communicate technical contents related to electromagnetic theory effectively individually and in a group",,,,,,,,,,,,,
25,ECE4142,Communications systems,25,ECE4142,Communications systems,0,4,4,,,,,,,,,,,,,,,,
26,ECE4162,Electronic systems design,26,ECE4162,Electronic systems design,0,4,4,,,,,,,,,,,,,,,,
27,ECE4174,Computer vision and robotics,27,ECE4174,Computer vision and robotics,0,4,4,,,,,,,,,,,,,,,,
28,ECE4175,Advanced digital systems,28,ECE4175,Advanced digital systems,0,4,4,,,,,,,,,,,,,,,,
29,ECE4181,Biomedical engineering,29,ECE4181,Biomedical engineering,0,4,4,,,,,,,,,,,,,,,,
30,ENG4700,Engineering technology for biomedical imaging and sensing,30,ENG4700,Engineering technology for biomedical imaging and sensing,0,4,4,,"describe the underlying principles of operation of various technologies for imaging and sensing of biological systems in a medical and scientific research context,describe practical implementations and characteristics of various imaging and sensing technologies in a medical and scientific research context,decide the suitability of various imaging and sensing technologies for a specific application,generate clear, concise and high quality documentation and reports for communication of complex integrated ideas,design and justify implementations of cutting-edge sensing technology considering technical, user and commercial requirements and limitations,plan and negotiate with peers to achieve an optimal outcome in an extended and multi-faceted project","describe the underlying principles of operation of various technologies for imaging and sensing of biological systems in a medical and scientific research context,describe practical implementations and characteristics of various imaging and sensing technologies in a medical and scientific research context,decide the suitability of various imaging and sensing technologies for a specific application,generate clear, concise and high quality documentation and reports for communication of complex integrated ideas,design and justify implementations of cutting-edge sensing technology considering technical, user and commercial requirements and limitations,plan and negotiate with peers to achieve an optimal outcome in an extended and multi-faceted project",,,,,,,,,,,,,
18,ENG2801,Leaderhip and innovation,18,ENG2801,Leaderhip and innovation,0,2,2,,"discuss the leadership process in real life scenarios based on literature and internet resources,explain ideas effectively, on paper and on digital platform, by working in a team that consist of members with different personality types,design an innovative product with commercialisation potentials in the context of the malaysia community","discuss the leadership process in real life scenarios based on literature and internet resources,explain ideas effectively, on paper and on digital platform, by working in a team that consist of members with different personality types,design an innovative product with commercialisation potentials in the context of the malaysia community,",,,,,,,,,,,,,
19,TRC2001,Introduction to systems engineering,19,TRC2001,Introduction to systems engineering,0,2,2,,"describe what knowledge and skills are required to become a mechatronics and systems engineer,interpret and classify cross-links and design interfaces required between subsystems of a system, both as hardware and software approach,map and define design specifications and solve unstructured problems,apply an integrated approach that can help design better and smarter products and processes,understand and implement basic tools and methods for system design,review and conduct structured analysis of systems,plan, design and generate smart products and processes","describe what knowledge and skills are required to become a mechatronics and systems engineer,interpret and classify cross-links and design interfaces required between subsystems of a system, both as hardware and software approach,map and define design specifications and solve unstructured problems,apply an integrated approach that can help design better and smarter products and processes,understand and implement basic tools and methods for system design,review and conduct structured analysis of systems,plan, design and generate smart products and processes",,,,,,,,,,,,,
5,ECE2031,Circuits and control,12,TRC3500,Sensors and artificial perception,1,2,3,(ECE2031 OR ECE2131 OR ECE2061) AND ECE2071,"analyse and understand dc and ac electrical circuits, perform and interpret circuit simulations, solve for an interpret the transient response of first and second order electrical circuits, model and analyse closed loop feedback systems, design and understand the significance of pid control, understand and analyse the stability of single input single output control systems","appraise sensors in terms of their performance and characteristics, and apply transducer principles,construct a complete sensory system including specifying the electronic components requireddescribe sensory techniques as used in robotics and implement these conceptsdesign, construct and debug a small microprocessor system that is capable of interfacing to a series of different inputs and outputs,construct appropriate software and test processes to produce industry-ready products",,,,,,,,,,,,,
8,ECE2131,Electrical circuits,12,TRC3500,Sensors and artificial perception,1,2,3,(ECE2031 OR ECE2131 OR ECE2061) AND ECE2071,"separate and classify dc and ac electrical circuits, to generalise and solve problems in design by applying circuit analysis techniques and create appropriate circuit layouts,write and compute circuit simulations, reflecting upon simulation outputs to conclude upon appropriate designs,identify appropriate techniques to provide solutions for the transient response of first and second order electrical circuits, and make conclusions on circuit design based upon these results,generalise the behaviour of key semiconductor electronic components (diodes, transistors, operational amplifiers) in circuits and to summarise their uses,compute and generalise the behaviour of rlc circuits","appraise sensors in terms of their performance and characteristics, and apply transducer principles,construct a complete sensory system including specifying the electronic components required,describe sensory techniques as used in robotics and implement these concepts,design, construct and debug a small microprocessor system that is capable of interfacing to a series of different inputs and outputs,construct appropriate software and test processes to produce industry-ready products",,,,,,,,,,,,,
4,ECE2061,Analogue electronics,12,TRC3500,Sensors and artificial perception,1,2,3,(ECE2031 OR ECE2131 OR ECE2061) AND ECE2071,"an understanding of semiconductor devices and their uses as near linear amplifiers. more generally, an understanding of linear systems, and of how non-linear systems can be approximated by linear systems, and the advantages of doing so.","appraise sensors in terms of their performance and characteristics, and apply transducer principles,construct a complete sensory system including specifying the electronic components required,describe sensory techniques as used in robotics and implement these concepts,design, construct and debug a small microprocessor system that is capable of interfacing to a series of different inputs and outputs,construct appropriate software and test processes to produce industry-ready products",,,,,,,,,,,,,
2,ECE2071,Computer organisation and programming,12,TRC3500,Sensors and artificial perception,0,2,3,(ECE2031 OR ECE2131 OR ECE2061) AND ECE2071,"evaluate the basic concepts of computer programming, cpu organization, assemblers and compilers, and algorithm design for engineering problems by using software engineering and operating systems concepts,develop and evaluate programs in the c language through understanding of standard data types, arrays, control statements, functions, pointers, strings, arrays of pointers, structures, linked lists, binary tree data structures and dynamic memory allocations","appraise sensors in terms of their performance and characteristics, and apply transducer principles,construct a complete sensory system including specifying the electronic components required,describe sensory techniques as used in robotics and implement these concepts,design, construct and debug a small microprocessor system that is capable of interfacing to a series of different inputs and outputs,construct appropriate software and test processes to produce industry-ready products",,,,,,,,,,,,,
